location_id,region,capital,latitude,longitude,macroregion
1,Amazonas,Chachapoyas,-6.2298,-77.8721,selva
2,Ancash,Huaraz,-9.5277,-77.5278,sierra
3,Apurimac,Abancay,-13.6339,-72.8814,sierra
4,Arequipa,Arequipa,-16.4090,-71.5375,sierra
5,Ayacucho,Ayacucho,-13.1588,-74.2232,sierra
6,Cajamarca,Cajamarca,-7.1638,-78.5003,sierra
7,Callao,Callao,-12.0432,-77.1469,costa
8,Cusco,Cusco,-13.5319,-71.9675,sierra
9,Huancavelica,Huancavelica,-12.7864,-74.9762,sierra
10,Huanuco,Huanuco,-9.9306,-76.2422,sierra
11,Ica,Ica,-14.0678,-75.7286,costa
12,Junin,Huancayo,-12.0651,-75.2049,sierra
13,La Libertad,Trujillo,-8.1116,-79.0288,costa
14,Lambayeque,Chiclayo,-6.7714,-79.8409,costa
15,Lima,Lima,-12.0464,-77.0428,costa
16,Loreto,Iquitos,-3.7491,-73.2538,selva
17,Madre de Dios,Puerto Maldonado,-12.5933,-69.1891,selva
18,Moquegua,Moquegua,-17.1938,-70.9347,costa
19,Pasco,Cerro de Pasco,-10.6863,-76.2610,sierra
20,Piura,Piura,-5.1945,-80.6328,costa
21,Puno,Puno,-15.8402,-70.0219,sierra
22,San Martin,Moyobamba,-6.0344,-76.9739,selva
23,Tacna,Tacna,-18.0146,-70.2536,costa
24,Tumbes,Tumbes,-3.5669,-80.4515,costa
25,Ucayali,Pucallpa,-8.3791,-74.5539,selva
